epsilon	c	I	r	target
2.341152917660983	1.2270403966603824	3.3321252849953944	1.9041253277437504	0.07901297619589329
1.9595948393822236	3.9408839735607035	2.128634638497234	2.6982010165681833	0.004125659393902964
3.0318550553516963	2.0153389555528523	4.38921666533758	2.2150317248752267	0.02561076587233349
2.717057297056764	4.224324346483504	2.6164796853820507	3.3528333408959328	0.0025616053580085284
4.83497747285684	1.0544136915038131	1.5356428687709411	1.4321755839017398	0.03174662524431099
3.913211071254232	3.559355670953257	2.7758748360549848	3.881491632843206	0.002295859510901446
3.769359637399517	2.4449632882912367	1.8627005302845228	2.217999764098863	0.005931839798358717
3.6296438448286783	3.5420945113236217	4.2228889786489505	1.5961604279782722	0.00924632072145348
3.9275835531335614	2.9334290047995744	3.162078117677602	3.724795713940576	0.003997731950222104
2.327313943504969	3.812120951408203	1.6848010857509674	3.5597018045865534	0.002227239048065844
4.160629968625189	4.400279970236513	4.108952053220291	1.1665573584707944	0.0069586564464813655
3.1457101737915183	1.198340771556039	4.065897419379553	3.3043239399855397	0.04335254061742064
3.6057168050548793	4.67610968141226	3.486118893736041	1.0784110718030373	0.006525548106389043
1.5034909096384237	3.5423082733195312	1.8986911062749563	4.263204710392106	0.0037572037499375775
1.885202261106248	2.5224095878223642	3.7322552998497023	3.2665220829550914	0.015160611104696659
3.7447770878369533	1.3619800021057635	1.4893317127354608	2.767042192780162	0.012331853439374442
3.3205055894984987	4.3726688111214385	1.642933232282218	2.9758041082057805	0.0013840071115536518
4.696372149927296	1.8611298000413647	4.4590272309227075	4.8565267672094645	0.008982942907619659
3.800486844351336	4.9194531435530005	3.419079600760589	4.896740600686941	0.0012082292763992244
2.497469757380009	3.792618660586288	4.259015691706391	3.3578955111714137	0.005619317885365818
4.667636482112202	2.1869561674325624	3.6620304368760057	3.5599171220529837	0.007333731588788471
3.8499456685683584	3.822295164350912	4.324765551883262	4.707614386221046	0.00259943388973399
1.7436444643898237	3.131894148702523	3.9538743550662985	4.193103688994585	0.008774761232071538
2.95099847762796	2.3295606472367463	2.3873431843015767	1.6830251928388331	0.01409702080847871
4.7085552901436225	2.0603352270747224	2.7965998037981965	4.7404462358901736	0.004697510705800705
1.124682172330096	1.656918670329071	2.7074908362047605	4.6461553486735765	0.03003732170262572
3.694958683850206	2.2641700007208407	3.244606031863201	1.6638666797677235	0.016384603185411458
3.3136463026302705	1.6036782176078097	1.7889042412829643	1.6286301305785569	0.020513707058420736
2.8395053468784512	4.6802568677519005	1.2090297956122282	1.4763283427207976	0.002095521440728064
1.8450830911884093	3.653689527788357	1.7631747944491427	3.11040865941104	0.0036628475069610048
3.845266934532976	1.9772821431712595	4.73865058800587	1.1783593740975469	0.042572903960881314
3.2948399386594094	3.8777916087057895	1.085656431036952	2.4786174011013893	0.0014070184487001314
3.6909009282667418	2.714778358677013	1.2139359324416166	2.87456810122814	0.002470825936295597
4.353361162085829	4.131867472765	2.3945036558026724	1.194453929941667	0.004292880183782241
3.606720130705592	1.7357670598819943	1.0434133561928096	1.091310036158157	0.014003385524248246
1.5750634809710702	3.306018637580257	3.6520978060264695	1.7317533810378212	0.01949700171475536
2.493801378844716	2.361063426368605	4.483771708656003	2.516059236536386	0.0204016641436567
1.3333900746498388	1.411347921791041	4.212681005326248	2.4617865038795657	0.10254226957563538
2.0111650512120907	4.493589131706641	2.847697316325927	3.2972142704113865	0.003384794856222202
3.4801351461622323	2.119340256413524	1.8440367667212956	2.904589613748942	0.00646409071924685
2.1390134520023474	3.4606015998072404	3.6709673124440663	4.700766530553806	0.0048519380025593755
2.655785638343854	4.741198314461206	1.3798869980432542	3.4870662763751725	0.0010549556238754725
3.760460629300668	3.191564409493072	4.2828151860670385	2.109875977338	0.008434207185979306
4.642561824999682	4.959025660145214	1.1628932497186202	3.799532105272107	0.0004266575701077357
3.7149529015979113	3.709220687944328	1.7010735734402982	1.537277852607657	0.0034456582456484502
1.3874049065819696	1.2138717104985892	3.4931801893141494	1.6727203378041544	0.16258069521575547
4.779499588355726	2.2309305680535085	2.7421061993723157	3.5330111244889904	0.005192839030822809
3.659831615685939	2.3305475498081965	3.828326873253456	3.976299455603048	0.007708555773103541
1.1111074965317225	4.571593298014363	4.688446990478194	1.4085225862980968	0.022813613191357853
2.8645239937260034	3.29213264083547	2.731320892089331	4.763146443515197	0.00293962417570361
1.5794543842880309	2.3600397885021915	1.612040918634544	3.1083769848604845	0.009382461063324916
3.322113876714148	3.6291734072346418	4.250062015877576	1.8469476764706132	0.008370103948797537
4.074433684009058	2.4679102320742223	2.3519594926325684	2.393573454794041	0.006301983166616651
4.342385713858812	2.7543823580535416	4.337616914373422	4.247373959677513	0.004933714017900446
2.6228789864702184	2.37231038796792	2.675506719868113	4.743282960242311	0.00608171227197399
4.374583513075273	4.3946444472489175	4.888408153752843	2.1209915816502853	0.004341746343005784
3.148415598695854	4.693226574289811	3.372289556483392	4.643217329376965	0.0016668283557486185
3.4714008659094118	4.956093761197653	3.669928597897285	1.0806633583285583	0.0063387485584708685
2.99510668492168	3.6603703514815598	1.3422110284094626	3.0458948741940777	0.001747687057684467
4.545709031368884	1.987634266019708	1.907243151011933	1.45872027791084	0.011587229044663106
2.4136520321133794	3.853220756724393	1.6169418718775839	1.1096428322291525	0.006471558558712245
2.842139828801765	4.337783466014606	4.498990697292124	3.269619052743011	0.004095028159489542
2.6326649162989817	4.0091665931262375	1.5167217506589936	1.26788321316103	0.00449927981224128
1.97220762772948	3.1020434968045603	1.6807968346942856	1.5932280043765463	0.008847264702550385
3.699329010090794	1.6031705467738675	2.8598274335208957	3.945812089874871	0.012132244422895587
4.481969595734913	2.420866407699502	3.294316322632767	1.245986588668397	0.01601996296009223
4.583718854936583	1.6224041956188169	3.799328191295007	4.5463461975770665	0.011023724338763452
2.6821372158441976	3.87970662837592	3.532749461133448	1.6272017045897624	0.008558798740640928
3.821340522959993	3.27683762575464	3.5878553018110932	4.087922688236989	0.003404291922808334
4.985998440521649	3.082648331179003	4.653824980821028	4.7024063951749815	0.003324374283357875
3.620219662798789	3.8928674486641626	2.696304066586052	1.4413826593031716	0.005426696706400082
1.4254587278698367	3.7329992118539694	3.5672589091949423	4.229111835391016	0.006758263944018272
