m_0	v	c	target
4.196830438495727	1.663569655255163	9.038942002108145	4.269767161466456
2.0645597114749727	1.1821564209492972	9.382339124568258	2.0811454221329635
4.551187640517195	1.9171638499748456	9.176752698449937	4.653881381906125
1.1427142463754052	1.7575917352482775	5.2977826876564516	1.21131865183458
2.4518160672244904	1.0275339007510995	3.544964824201818	2.5617942057384964
2.243542280690332	1.5247656341280686	9.013292540405564	2.2763510196470502
2.106614430457246	1.8135369210262	4.020220402581434	2.360427776110641
1.1266459741259696	1.5839614434316032	4.814313378334757	1.1930687232040664
1.0100662156585112	1.8135063023807103	6.8734317565819545	1.0471720659649923
1.8427369943216252	1.9069898764254427	5.577662562988733	1.960906754001147
3.8184611083546547	1.0468737327917197	9.658239918480426	3.841091839586717
4.874587037661726	1.5957049842195654	9.905374377103332	4.9390969493100245
3.931963514178365	1.7376062425440295	5.075238029899374	4.184874633564765
3.480634467375978	1.605284078513845	7.034280756104772	3.5749699256861054
2.2353495186285106	1.2169830694178223	7.325606523530163	2.2668489286225353
3.9276762292369662	1.5491652517509835	9.415498476776623	3.9819441966496623
1.6849043343659145	1.2913944496920484	4.918222704548495	1.7461740508237062
4.59319968440226	1.577798871145346	7.707138413525032	4.692585101745058
1.2023098663836975	1.1043992073385758	5.910289829221351	1.2238664695223351
1.2240327641080713	1.385215320885718	8.572802828063104	1.2403317153061668
3.2222932957111152	1.1733414800644069	8.706590247961202	3.2519588944831157
1.8133565610740527	1.8015716820131864	8.517421466747942	1.855334400513433
4.313978570165673	1.5834374866259342	6.971050238880278	4.429768251245839
2.070820525793724	1.1275967680812178	4.291641919492942	2.1462260591699125
2.839277152855197	1.2614203078189787	6.7427793363696376	2.8903048665388256
1.644626264232719	1.945552365375248	9.58281706599349	1.679606532350011
3.1316135543865062	1.9414550315963863	8.134180119105796	3.2248152004111517
3.8432843975034943	1.4540183409077412	8.51285996691916	3.9006026854155733
3.8464841711054416	1.0846073836431582	7.230080271652183	3.890509189070549
4.909785124327182	1.0643660668139163	8.016052110364758	4.953646572956098
1.0313766639048123	1.3277117332777937	3.307484597676466	1.1260907225434502
4.892574481390895	1.5615468242270432	5.210382544717916	5.128303161515048
3.054525738442764	1.9723508839288748	5.054646040849518	3.3175123186963678
2.4111834017061153	1.302144238584455	3.960492474507099	2.5531234018998585
2.55179893320744	1.4066637313788672	6.106134655734468	2.6223308143257693
1.6914424661976195	1.1866908076581768	4.6563075952238115	1.7492031590918675
2.1537899750622063	1.0241805616795596	3.276226055050453	2.2674299070282475
3.404419690140621	1.3279130525759058	6.275968523517402	3.483284107740177
3.784953144849422	1.2614206727384514	5.9502016932838835	3.8729842520882336
3.4247526540117548	1.8653666800785933	6.508504029708287	3.5747156196368035
2.2322970161365334	1.6900162385983153	8.445060405842831	2.2783850588207804
4.922595000103573	1.831623945934736	9.460631139282327	5.017528686414875
3.706376916733463	1.2849246096941422	3.3069154299571046	4.022441214214818
4.858591933349036	1.7725379816834832	7.024571502973122	5.021072810747283
2.2574118979618607	1.5531122249333809	8.606697171550739	2.295089370236602
2.2359051966225967	1.7440434098499218	8.30942334797577	2.2868433502426666
3.730352181818332	1.1997680626235523	9.764424071795204	3.758834350560134
3.7934312797065792	1.0220202099755058	9.221681151602144	3.816945168856816
2.5704616893223897	1.7536541715302023	6.914623561984633	2.6573430702831
