gamma	pr	rho	target
2.4795462307926197	2.9774631391817628	1.5088249665905762	2.2120241849981497
4.156300662665918	4.710462663283759	1.3117764108312384	3.863272589210027
2.3482055785152816	3.3830924526198776	2.3702364788247148	1.8307504601590527
3.466509270230285	3.2735996410420025	4.5531884352969225	1.5787056131433248
1.9953573024267688	1.1272890958557764	1.697481167812242	1.1511330101628858
4.683605202107937	2.050031494832325	2.9259484287310786	1.8114947213807853
2.823315609511582	1.4985792526397732	4.7675530724265185	0.9420453371782224
4.895006251507937	4.303795224957513	3.0397960962585384	2.6325716409933912
4.611048267677054	1.8167049999032088	2.2759423533357563	1.918498266124169
4.943613495190993	1.1872250543564866	3.2124414031107813	1.3516715529024612
4.850919520690422	2.0707746160099068	1.5019991073983383	2.5860898741374183
2.9592048379713853	3.008999330773117	3.9978097779367268	1.4924077540047478
2.7518877621205458	3.2420535706761764	3.8404162753490216	1.5241801489482656
1.0014748731125045	3.3724037136532403	4.379924130404424	0.8781253491945453
3.5078677718982947	4.022143273635634	2.8526967340908205	2.223937474831755
4.631352836027807	2.7682259097827178	3.5232274516652513	1.907587018608847
1.9201488207250532	2.9917847415255925	4.520905357278989	1.1272491297459786
3.1102735107001465	1.285434507046094	4.841543080380959	0.9087247729725864
4.181902860546212	1.7617603548283582	1.605582681468201	2.14212124852778
1.3614187818009134	1.80788847235438	4.628804145151107	0.7292010478276201
2.2600273968819926	3.1204171443640663	1.7641330063049099	1.999390005506496
2.609283491485032	4.642480767892222	1.313559953953594	3.0367618861720596
4.775303415138256	1.7467781050289959	3.7907073605445714	1.4834032498242782
3.633546587662624	2.8500353595604486	2.9921021293875354	1.8603826642640175
4.39895667713512	2.742084745462709	2.92119861282228	2.0320516192953817
4.7255265555177175	2.3114560077129367	4.910854808470196	1.491383634272351
4.664469710963292	1.3104856178316435	4.45972423591	1.1707475714341429
4.5116799591369965	3.982568800714644	1.951000528571571	3.034744217129689
2.7166687523050324	2.592533905017486	1.6359381991587465	2.074899755228706
4.5023963776067815	1.0657248670989503	4.597866506793269	1.0215655383907336
2.894811994813164	2.099693389315209	1.4654242027622368	2.0366032955164632
3.428401713166994	2.5046422452844856	2.4262294095715053	1.8812771088702576
1.131183317487373	1.9304051641919795	4.9705978407290585	0.6628059794920705
3.134850942483055	4.37174715059139	4.974417575542444	1.659834724750208
2.8027546227842337	2.363913679840805	4.039840298060812	1.2806375955346954
4.047374898139323	2.186169511256053	4.5937941171957775	1.3878510871090275
3.7157523719005017	4.484789274660319	4.115761764827285	2.012191400418452
1.8545068974550405	3.398270209737828	4.604310610279233	1.1699326836777535
2.2701651145873365	1.6808240419674774	1.3121835764403698	1.7052676357654104
3.3699961164287897	2.3589865952510114	1.6335936900264771	2.2059995174671623
2.8254345976752493	2.248492555926812	4.665549878370512	1.1669088620561323
4.429791520371318	2.8880636246540075	4.215005489201073	1.7421917376455212
1.7941062088980786	1.2502737016080094	4.278506691960145	0.7240699349097784
3.46243321347426	4.022361100800577	3.475222753127808	2.001888602965514
1.40789340997571	3.1923077246092757	4.732948553397815	0.9744765005041012
1.7122544968583724	4.26071614644985	1.4327544220288675	2.256522041169744
4.326366338377103	2.5339370003732262	3.6230281215969056	1.7394970617020145
3.048603340932464	2.863757996922483	4.021251865740366	1.4734587440880678
2.0718658377219845	3.5519448594486267	1.674000992343863	2.096698897313264
4.14781242884786	3.7476678237044334	2.205117823990268	2.6550591417713325
4.502431438323031	2.26319640743784	1.4849095020935676	2.6195982007752185
3.2518194599716086	2.4119851930179985	1.502907075172724	2.2844647810781606
4.949900041712758	1.8114925185703563	3.378917394553018	1.629024813283818
3.3558713516741148	1.2094570422206838	1.7720286919435748	1.5134305657342535
1.0924611955445012	3.265521315828465	2.3717599164713263	1.226433229033166
3.0144743785153265	4.9799626676043705	4.958986070602795	1.739892426952706
2.946183271485815	4.156519489126815	4.242814525653023	1.6988998057643476
4.269601548484841	1.819056104446151	2.0292385793178997	1.9563662654616467
4.9243346138397195	4.06608251171334	2.3808420156724988	2.8999905497893304
1.4000791234281444	1.3148531978534086	2.712364006119681	0.8238363249793662
2.5486200832619987	2.8032885834787296	4.284634455609954	1.2913071827081464
1.7541677098675799	3.8715176776325095	1.6680568601756605	2.017765788282216
3.2296124411945115	3.610048078385111	2.3879927374495247	2.2096078126678784
1.6273281316876511	3.933753924564244	1.5457334691698756	2.0350442425224933
2.0899426546161433	4.7125686687481245	4.641150888135856	1.4567438278380982
4.4557948020563645	2.3747230678616917	1.1713748010777572	3.0055304906555547
4.746718333991592	2.843334519477125	3.6022907034813203	1.9356254830454285
