alpha	n	d	target
1.8461495814678208	1.4947737908347007	1.116298460018292	6.951698921514821
2.4708270480048204	1.830374218710805	3.912866559394465	2.1676406552720513
4.863445878467163	3.322992355975636	2.6736960414229727	3.4393991560459787
2.723500010914598	4.719940164186122	3.139921785837188	1.1546541653288214
1.0756426666067551	3.79348448731223	4.684853060142824	0.3802888592752861
2.7435716447344194	1.039012753333315	1.9664617361488044	8.437033927241494
4.284931856282096	3.283292287928315	4.615544946811327	1.7766065418009351
3.5846206854466107	4.044133525735118	3.9939761779909104	1.3944152328630672
1.3618500425839284	1.4968705956999568	4.7222334912496375	1.2105352569672256
2.11407056978413	3.147726834160792	4.756130397367199	0.8872552122442939
4.640982738762854	1.991715914944979	3.7749706600732815	3.8783665039492963
1.0604509245129554	3.9213166205943084	1.7729268206130209	0.9584020263092622
4.813665883048722	4.845247075148573	4.015400513537086	1.5545726137967095
4.704060856343528	2.313770174833921	1.2834373090742104	9.953089776381887
2.3760329845184365	1.5975973408714452	3.190471914789029	2.9289373263647183
1.716264565940257	4.176394180509702	2.5978045647411063	0.9939307958713268
3.1900801589521244	1.4745531528716986	3.5961950520025123	3.779878090352044
4.642538118791781	4.991943682244433	2.1571329713641405	2.708873674161393
4.4896728802621215	2.2384617390300106	2.1773430202905644	5.787860278307315
1.7399724140079846	3.146910205551523	3.3701498432556773	1.0308338459658393
3.277641346062812	3.2065348725869254	3.956341180930977	1.6233478635200802
1.0291358636304797	3.075319908729244	1.0412532631142022	2.0193235308899107
4.631904073105094	2.194455937330312	4.328892985748327	3.0636257426420315
2.8768083201282995	2.5141987340754675	4.99006276865646	1.4407385690637438
2.508170034800716	2.221989414649514	1.1541227725500334	6.14529657956384
1.2979352928496477	1.5496150784960838	2.0901305513748696	2.5178836810730667
3.9246346214918186	3.994603243291066	2.495851613880668	2.4733563220673567
3.808993234649912	3.6733781220429234	4.658183902206496	1.3986459894259222
3.4315570113024485	3.1410210926115525	2.146020053088922	3.1986480603276566
4.793723688966296	3.2391985140728528	1.5529907854758664	5.9875123546030675
3.968730964032742	4.312367200646792	4.1364051438771385	1.397953494987742
1.1612730562545792	3.2961809241622824	1.2617977137809713	1.754338685249372
4.74183217606043	2.5257852288266602	4.03520040350827	2.923240319804766
3.102113096677114	2.1794848226477908	4.381350199545664	2.0411535611067064
2.2172870636178406	4.871729816933216	3.368244680003338	0.8490142204202211
1.4503199009141563	4.025819312177921	3.5045072178955348	0.6458957649974116
3.058059961007141	1.968909401126565	1.2650095458829274	7.714474175520475
3.3318360019824773	2.051309310852009	1.9018907400993523	5.365951830597701
1.8936836633424083	1.7680000167329508	1.715459911577785	3.9230555941019647
4.1415748363436125	2.5805024048149225	1.6075974643760813	6.272834088927734
3.9329494669576137	2.90901778077147	2.2396296211812117	3.792937234953103
1.3525952355623312	1.3004837330613048	4.547487667602028	1.43704797637812
3.401204358242141	1.8441204928197656	2.7654262652215587	4.190455354056836
2.074799190089513	3.1641785951710943	3.2055739964706427	1.285254530352556
2.6312037723092105	3.7875701755188977	2.752150581939338	1.5859937481114068
2.9321038762806513	3.3876552357281464	1.4520527004252406	3.745222606814985
3.324921966614683	1.288788266677552	1.2581876343380638	12.883514169831354
2.5800222647206428	4.447511818373171	2.8446934743880856	1.2812997305950695
1.0234206491533715	2.858931080983452	4.662916140401359	0.482361628290845
4.171075074101951	2.032164823259772	3.4834012119234146	3.702247486643585
3.680916579622692	4.578890090217891	4.3281877992893465	1.1669964314827876
3.492033298098981	4.978784661090216	1.366397347567842	3.225209210822775
4.643340195067727	2.0229736960696028	2.827385532248831	5.100762524548242
4.3719769238612445	3.431396142815613	1.6389689384324022	4.8844553915582285
1.091665686929558	1.6988326838404428	2.933836593451096	1.3762045812150792
3.140834253489486	1.4304111599703435	4.62287172047574	2.984366489383598
3.692247227119709	2.899005512078907	3.0436586032739963	2.629212344884289
3.9809464338071288	2.4153821257415773	1.004609495372483	10.308205679576801
2.1407998830286323	1.861826989448789	1.827469229742792	3.9533616576759103
1.2569762644694902	2.1720353301400883	3.2847003822076632	1.1069915330187563
2.9653291443648726	1.5057347889999764	3.240050345531165	3.819025262701908
4.545463715039596	1.0095595453097346	2.8803308888186496	9.82163391382933
1.5417916526053093	3.0339853610297434	2.984506781029706	1.069841664832779
1.4542067575210829	4.731954545859469	3.8722581601603054	0.4986561262034061
4.7460208781454405	3.0567521697480595	2.8185992549714904	3.4611143725392486
1.0424837612397928	2.753266555161075	2.9190054225217015	0.8150157585360358
2.7098098016799312	3.820912406864776	2.1620635764760823	2.061024410369674
3.441423593589892	3.1916105320518167	2.7590871482810173	2.4555155704169747
3.9371682768106937	2.7825655589668963	2.8635901586000725	3.104613766968221
3.1518880035785783	4.126205585369286	3.561502312567616	1.347617221626541
3.1623215252486623	2.823351785070366	2.5305793265013112	2.7809997056657103
2.1045236287460822	3.074432331466616	1.2214585719273958	3.5211943334351066
4.6048753242443645	2.9267749575907995	2.8205249261069274	3.504922925479142
3.433511616681879	4.412362467815896	2.3487800182099985	2.0816363551832304
2.346742972547784	1.1844736562591949	4.492401792145335	2.771031077485463
2.508359070292913	4.904730928367802	3.26656578297726	0.9837006951698304
4.3741157610237575	3.6372551055600684	2.803147378363709	2.695568960453913
4.3363557709512826	4.985499047435108	4.835861773172351	1.1301140083694918
1.5246280003319668	2.6103517885614886	2.9889085060209952	1.2278126375009677
3.433963148931129	2.349104733274183	1.6669779866476793	5.5098941269585575
1.5895723881100268	2.4744902828835555	4.1801356294033525	0.9655706419936448
