gamma	pr	V	target
3.722836758448096	4.237744503079603	3.675773278636034	5.720867385008048
3.2560350657189194	1.8649670230892408	3.04560241921943	2.517668348153556
3.8566369394726636	1.3269665485061144	1.0406616275838196	0.4834087065934866
4.357032689162807	1.6198519606798705	1.6222496724615951	0.7827759083586784
4.016725532749142	3.6391728602307465	2.9275259837357432	3.531568580560476
4.294484423925413	2.2332230581496537	4.084378992170912	2.768666707693814
3.947686237374505	1.1766879273974773	2.3162406708145107	0.9246209449761712
3.3477214399872675	1.3949068057290006	2.7833121982534963	1.6537145598642244
4.170850967605712	2.8152841951722123	4.717516697185231	4.1885129051256245
3.4563017496813817	2.1261845456646573	1.3797926957681033	1.1943540350218214
2.709293413481781	3.107540977874835	3.2262165518774437	5.865347669032055
2.113930745945881	2.9191148290923037	2.009413239685044	5.265774382372597
2.5332814395779018	4.009158348473692	2.114157875571766	5.5280090647763345
2.1617606616482976	4.869486025879545	4.40001713903149	18.442543872802112
3.519959715863649	3.013583417815534	2.26227299906115	2.705419596045394
3.0611557337997226	2.6378910031802274	1.7955672962646654	2.2979878418451625
3.3131474771485356	4.665175209485178	3.4225057122113265	6.902538191214697
3.470986781719891	2.763112985772066	2.2135137247818517	2.4752008235642418
3.4904068495274725	4.050603457189527	1.310976896830402	2.1322811377604363
2.4178111283558272	4.684268242297383	2.796537025266353	9.23940383445512
4.358422390296877	2.2696241881210315	4.979516795592922	3.3651609151621904
3.7275835006200766	4.103009270319942	1.2307159778444206	1.8513233655646348
4.132284982164994	2.9133355934354435	2.5955320570392657	2.414102155049981
4.155729957478004	2.26152359307516	1.123529091017549	0.8051663422028358
4.144953615611271	2.3452867492988627	4.0255490418387465	3.001973313568928
3.676193220918976	4.119559684016706	4.278068717808764	6.585383774825578
3.2142157236398594	3.883582685743834	1.6209861784999662	2.843098705081929
3.496828965086847	4.869034225310721	4.62705071430845	9.023152408612269
4.109258155317534	3.9851985662819422	2.668862596603712	3.420734741950823
4.33670993675838	1.3014308322297552	4.174355924419127	1.6281413750989129
3.8132727050859017	4.593617023271762	4.129867284291085	6.743401955550334
2.8601480542097013	4.357304837341512	3.209908563354282	7.5190520877489195
3.2315273715692423	3.59302109386598	3.7091926202327	5.972235651466033
2.4333334407664564	3.375183854188372	2.763279770037689	6.506913882822199
4.603366289807387	2.3791214420551072	1.1988348121067889	0.7915303018272464
3.87008067729212	1.1747400950664448	3.5944184906057948	1.4712156187005567
4.247140854573203	4.523835835445807	1.0136671899990208	1.4122159046087803
3.941188240569372	4.11159535975296	3.2730193358413167	4.575474268529553
2.773432707268843	4.158713976405363	1.0768528930328216	2.525228703876192
3.941168416419808	1.398425778581438	4.507516919086316	2.143171340291778
2.6195701077639293	3.3803249357181886	2.406485616312568	5.022754678709005
2.3940599273770657	2.9596544033973244	4.0621428671495465	8.624119227506009
4.113770845817742	4.885552378415738	2.3162628140962727	3.6342505151409434
3.2157698439279465	1.194631445140498	3.3705428837126177	1.8172268781037544
3.5025736734932003	2.5895369102212644	2.0368401033311736	2.1076193215253607
3.8867923412119914	1.7664182559179844	1.9804222096177668	1.2118135050980319
2.166896015804185	2.3118747269464075	3.0204274908920863	5.984123594727692
2.9489328517937805	2.5825680251035292	4.1894072348854765	5.551463283609034
3.647646311900664	2.7259652354784465	2.4901944789199897	2.5638558853592603
2.5164414543920826	3.997178776104865	3.1285758869287283	8.246594089369719
2.160968333265506	4.369591711050614	3.5970471318795085	13.538377302255464
4.173631217272083	1.0752128019653084	2.9692090277364267	1.0059554307879963
3.1846750501659415	4.9947407013521055	3.0500008399547185	6.973102628385309
3.8314969127894627	4.0317534362222345	4.561319039523814	6.4948379877232245
2.987847487285208	4.9319374592218885	4.868463066377196	12.078872005767193
2.174229654944976	1.7543461143813681	4.21955074301307	6.304177738371693
3.091284362003204	2.6349872742203924	4.7193785286113705	5.946346939259938
3.542279676126944	4.551525528519924	3.808108145363453	6.8177791773846295
3.2435072023758065	1.1984128847726139	2.548009107957509	1.3610684834265818
2.970285859075825	4.27102886548619	2.5974011330306004	5.630439442743469
