c	v	omega_0	target
6.839695296772307	1.96516732523496	3.1103399585766045	4.255737533163364
8.105163190986811	1.3962329036929897	3.9690071214167815	4.854051404052823
9.219389663694724	1.5029621796152055	2.049279288490573	2.4356158186950028
3.308731977549942	1.609251081931843	4.683156188108292	8.954506846202852
7.268938601807389	1.6872511593320616	1.0469136003102846	1.358801653808064
6.841608125621246	1.810683045337654	4.274961356570456	5.911779851284201
7.729875817529306	1.7282027938263271	3.943347813378373	5.10663245739422
7.562680596205118	1.3329809691012795	4.306997888780374	5.227116229704557
7.621345310203052	1.7273675162679414	2.8183786971272617	3.654770130018709
6.034804984800968	1.2674297602288005	1.5160555278520342	1.9019325274537546
8.269866660288619	1.4918014840631666	4.207204636217433	5.155917680659904
4.460803798801575	1.6829292414953012	2.9145504759234906	4.729455613602217
8.052915376994951	1.3563507437740872	1.165699603011629	1.3710603268383112
8.537087750168705	1.796515187423193	4.842333529040083	6.176980737105707
9.283698244584704	1.9247752520444044	4.07808158141146	5.124534851781715
6.417701117948919	1.3687507893128088	3.1920198857497755	4.105759418693899
7.795794775339267	1.524542903766697	4.632821489252586	5.795663537695326
6.49671694073243	1.0720187157178926	4.270666250895601	5.135083672342102
5.235230020468119	1.959730301077098	3.432363622164593	5.486498765579662
6.958942101384972	1.8545206006492547	4.436058956970099	6.059849257260179
8.328946847667137	1.3933120988241732	4.9418646970462845	5.9551313863893265
9.832721654234682	1.4044351404168285	4.787982644621338	5.616641180316475
4.647404502336345	1.2453588463995389	4.0103486394226415	5.423298783329309
4.2352147589413685	1.5417791974052006	4.802144012007653	7.633832176389735
6.618529669589377	1.8589917257643511	3.2753233186052952	4.500719400184577
6.3228719677736525	1.0000838566758463	4.4305640096285455	5.277175250759302
6.671482061685502	1.890952349152972	3.0017763893387555	4.127802225676175
4.5986707255112895	1.8208560111342968	1.9361825082910256	3.205064356650601
9.949834778745505	1.9258694582509264	4.821175002045801	5.977774551958731
3.1065314787077014	1.740821303463501	3.6152027704577048	8.224076764256774
3.688673917746413	1.886761354408327	4.552459925731221	9.17976815388121
7.927243510798934	1.4680273526095988	4.510768483708613	5.483722575952998
7.03307435141866	1.3005205197125478	3.2760309997626904	4.069093068100684
3.9469797726573552	1.7853685866489877	4.461074910617708	8.271570737981532
8.828812661775936	1.635323230443702	3.0369403087732354	3.743320068355476
8.538154449528626	1.9104672028012848	2.049943869942566	2.6480235171152557
3.587328949270413	1.846614231913835	2.0459844384727037	4.177018651774496
7.572885065216877	1.507690560078511	2.2560034451202213	2.7956288713272435
3.4083813286188507	1.5427599256098974	1.2704418969668625	2.2992306519719397
6.938392974996188	1.4841691546898257	1.10356984386731	1.4118233312917279
9.247212504927347	1.4777865057250767	1.8238629136961453	2.1982113839647797
9.584379420835615	1.335888400795585	4.816598177777413	5.589431634892028
7.19535760681609	1.0253236880256504	3.64382996840754	4.319778973477066
5.899858017073022	1.2594624720662022	3.8554877736812654	4.908338331787012
6.629742944370032	1.0126803063841272	3.241858027631685	3.795310121740825
8.900589365099531	1.1962094946075743	3.8225601075414426	4.393330504725476
6.303106073188385	1.3945255364119398	2.112495113748414	2.706754061815332
8.48408991814077	1.951463444365214	1.1059111709138898	1.4296732111562058
3.389671496311044	1.5174809490777748	3.959001323009411	7.239549093352561
4.93677265030896	1.5801300952310755	1.8291448810124813	2.702299103203248
6.898086541211201	1.824061198837724	3.731690984026976	5.035581932971009
5.4699154497861056	1.5671149961028368	3.7813901235731584	5.253658766535443
9.09484542821625	1.546154495646238	2.553152561051573	2.9963580020852354
7.9179859283548675	1.6439667173439911	4.239050864298791	5.348451861391404
5.767191082535362	1.9842008336339727	4.134796075940387	6.338426712287604
5.466684915929554	1.1252046277189345	3.389946357200344	4.253699936046561
6.226824227291888	1.0291266895056397	1.8507457974074413	2.2094543537266116
7.15221679028542	1.905125076963549	3.2767677352809983	4.497793077809912
9.22624755981709	1.7662882931038182	1.8099662293146888	2.2270171654207296
5.912840521866618	1.5374266969846269	3.289632289575537	4.425268442617878
7.312170264377277	1.3216505678322563	4.070567783082544	4.945736753018901
3.948016075500752	1.5448749506912187	4.798334151203061	7.8113729602478745
8.587267592976243	1.0955838901142037	3.110535990125584	3.5417827407114872
6.787338165246929	1.0351582227505705	4.834085255123574	5.668531989557324
9.392566162461224	1.9979900273403817	1.5085536373940251	1.941842070263318
7.9318821988660835	1.1069361618616265	3.0654945709511967	3.5854669110092283
4.3827269385367975	1.6862032763433028	4.239818246147706	6.813274335421685
3.1481147974489394	1.7422807366734778	2.2963671329444457	5.195404416529407
8.61180585868744	1.4175922728506043	2.281973148138729	2.704046965619241
4.0521206753041765	1.0700975645118862	1.5110688503396408	2.064611963851831
4.812212998043711	1.815252269252691	3.459732768193255	5.5194821058786925
6.48199207362778	1.7722396583721225	2.5763741544170298	3.5311406654089166
4.208187634147007	1.6624601766473737	1.226710370434554	2.0516875779945503
3.9863696521331393	1.3965428601481928	4.474821308072278	6.794662067625717
5.981769822359692	1.0624185348411008	2.0854152011004605	2.5572470010653565
5.388489122056585	1.1150172765736714	1.251192126576567	1.588096933759834
9.150287108885928	1.4450142389366936	3.8185799901947712	4.540576496178954
7.6886358474854495	1.7332832988064937	1.6225199739667473	2.089288289804109
3.322602158860377	1.995725948740492	1.4651168539564106	3.6805175069627523
6.819731514447764	1.0318593805293308	2.981863661629028	3.4396529180551676
6.422001943757053	1.9624253220497232	3.8146863575433634	5.497741019913829
9.99947511070258	1.4881090153264385	3.4188439146760463	4.016905058536662
4.689335296346148	1.8770229169074728	3.782253410412445	6.377520171705134
9.556922050013458	1.156431862254854	3.4402760365969383	3.894236166228542
5.884890139316461	1.7136268922528783	4.200423641045624	6.041349981468049
6.431209035283723	1.0736949089531596	3.968096499391212	4.775658005260833
4.114888773300153	1.2910757130867403	4.411710590493519	6.437973889774524
9.249166355427707	1.8094751617662028	3.5183902648436733	4.388616215053696
8.578921106955004	1.990398781287792	1.087329568335596	1.3964451729387186
7.242611942719838	1.1672075021319104	3.799831839248872	4.510426226099983
7.024177209408201	1.0778948189998778	3.476050743309088	4.107674761051407
9.925104357625951	1.893864233614548	1.9988168189049773	2.465268287421774
4.040521231106041	1.3423611111214764	4.738834598479249	7.088490310802999
6.516467822190865	1.7848424299996624	4.73890202345824	6.555699227037843
4.104310990462482	1.7578515384919804	4.419972879811201	7.652667364662044
6.028116995506796	1.264506050924903	1.7533536957825584	2.210575456903842
5.907482273869038	1.8081603489499656	3.1278797412945263	4.544457309189372
8.439028597258359	1.0717726947407782	3.1180626712538886	3.6368821792612986
5.210826036943232	1.9178367917536296	1.0492401554743689	1.6755958665527355
7.177834578978242	1.3192363359293706	3.5286624732734566	4.362732782368263
5.69054663548352	1.4100805875773408	4.2442575641051565	5.666057497234959
5.661421674386129	1.6630729347091795	3.9876121465745538	5.676052265187838
8.639152921295404	1.2707368366569805	4.4955441244036365	5.249489590193582
8.72597786818967	1.4898057355081606	2.999082320695943	3.663320752025869
8.902346880555061	1.5126384756740696	3.1338103448118777	3.7759931294972526
3.2525182093858933	1.5990250408745277	1.0100128937244834	1.9433111880338398
5.8437986070311725	1.6090911709626818	1.5581374990269568	2.1597917470862433
6.547729671666505	1.8010264434238672	3.982574410303658	5.565891709146529
5.958833398638974	1.0291011044724931	2.167699006851933	2.6391198413789656
3.2768348368234363	1.0842917820335902	2.5017989748796854	3.728265458029374
6.824506790587689	1.1155478363420053	3.4499840927449497	4.113723256774593
8.894273768217783	1.7337239368406905	1.6004489875440011	1.9805874042370644
3.943386334665607	1.4024990180173311	4.308809311485471	6.683402181306597
6.141530566509379	1.0476996080926129	4.133601275679212	4.966488071647062
8.63134363313372	1.822400869850748	4.414595488588769	5.616304140524091
9.111367520860457	1.2633250951744004	3.5084053653321434	4.075962435955708
4.0315174094877415	1.5328922520515669	1.153233291171759	1.8506012171595307
5.821934506727813	1.8647723452007643	4.8799212996372585	7.200740926723103
9.909466974862951	1.3426282103588283	4.7654782900529815	5.508995959328529
5.483936978741928	1.9324270243919828	2.031716438752541	3.1018089350777727
3.379601295135473	1.5735651278605625	1.0842622347602997	2.043381406546803
4.392763586525089	1.2094368012627714	4.788749104030036	6.6980380888192155
9.555438174900992	1.9671700268854024	1.1721904515535622	1.4974372427118894
8.790171694615186	1.055391668263742	2.3304086362611	2.6906319788397597
6.060177807447331	1.5651871982257015	4.531077315467222	6.076114147868703
5.12062789655428	1.3020985709928388	4.999693955737085	6.673873637107984
3.914161292632461	1.0781022119332888	4.011551712888677	5.460974847542745
6.143508493199207	1.398465859018633	2.877695876336273	3.73140668935742
9.962469492023985	1.5699509916543777	3.646705443966425	4.36619327960761
4.142110038315035	1.1051180680259751	2.1404119241534536	2.930167023486389
3.337321130328582	1.8121354537699843	4.529416153421503	9.905829816524056
8.500485235134269	1.5780327831195866	2.629725184358251	3.2729218687902284
6.903594401171612	1.9311630737604328	1.3237521640675816	1.8296273162644736
3.601649585059421	1.5064774347382563	1.5114087954005702	2.5843508299471876
9.453446986392036	1.222097369641568	4.364165983891336	4.94987198678336
3.9740043296001657	1.935293898886168	3.011543413062628	5.812208612718371
6.982455006143397	1.113349910259774	2.432235778779837	2.8949597633259474
4.663835338389929	1.7083990337465715	4.093082044416042	6.4869027408355775
3.5677595814191747	1.7212574067791042	4.482029858584752	8.64445776997688
6.168820057389271	1.455597563556144	4.174368885977485	5.460813842957366
4.223382398181011	1.6184475972438386	1.3651099861477975	2.2142900013209537
7.677415976010616	1.1162570518573407	1.4198804214933536	1.6856815380058767
3.994262823392592	1.161398722933968	2.763250725772537	3.8258342107077827
9.508441293805443	1.7217877922378138	1.2218564105068572	1.4973420397811665
4.999641951394825	1.7381023948559229	3.727358762908505	5.711324660883079
6.649169293440362	1.0633880992676334	1.649244823955137	1.9575021098658385
6.084943230676825	1.2456553044063328	3.4009828065423364	4.294978771239565
6.580128189294583	1.6787319708081332	2.755601634047064	3.6893979642006096
7.303283720954963	1.9421631012792733	2.7609947007148845	3.765823747784957
8.281576239192535	1.69992269175193	1.5628442111988918	1.958830040030611
8.6850700585541	1.7985072133402302	3.005869481962171	3.7525366465966887
9.340605398904238	1.5496310405015512	3.917550175948594	4.676450725031185
