gamma	kb	A	v	target
4.955424460482666	4.747078890282383	3.5608483696914277	2.9794279528305285	1.00418276126321
3.5463251139837757	3.7532478745890794	1.5543202155044704	2.8838812633902404	2.734829613020348
2.494225972368157	4.375667965540806	1.0626966366317665	2.4995456848390742	6.887789266020103
2.595774019034642	3.605896985095274	1.5538006591058204	3.9157185123889056	5.6945326639267035
3.10168705648406	2.826122289362753	2.6293929998523424	1.337106958360348	0.6838070078191678
2.000941454978631	4.055658924104597	3.943721695306272	3.1804164521097618	3.2676119800555465
4.2440246335135265	3.991824643373828	1.0134802575574713	1.1390875044850128	1.3830220562323967
2.4523895037339067	3.190530830010508	2.2106542686593817	1.0678867479954062	1.0611681678772842
3.62464765431772	1.4009801335142988	3.1474419014577126	3.746788312576919	0.6354222260329149
4.6498502848774415	4.084540260447917	2.9250184566162036	2.30622914244512	0.8823522060890195
2.8745295095614782	2.210924343573177	3.4056469154448767	4.828926601648386	1.6723708315420824
3.398357133425981	3.8517358430595396	4.327896546482377	2.596877948635562	0.9636455259768492
2.1749192591752142	4.165506377112614	2.5061428951484164	2.6098842318241524	3.692114785172474
4.513914047493809	1.2615427229794165	3.393218476115236	2.1250525403039733	0.22483746374651692
3.8598367477517663	1.5980764424817298	2.1887524816566755	1.3590342361980363	0.3469685036129176
3.792555122172167	1.6465056750679254	2.126444101347545	3.798314038801073	1.0531697476984132
3.85250123882	1.906008299579676	4.4864933780807394	3.303288020358007	0.4919697013866031
3.1771935891826026	2.8018792573678954	3.072324648561791	2.5005374166973056	1.0474145960014074
2.008514794922316	4.312573340495442	1.063616050912723	2.3712097545193376	9.533213304518814
2.9359020784788914	1.550944433614473	3.5456596728054617	1.3888514266338845	0.3138134790934175
2.315196036855759	1.5104648923421986	4.1021088320737435	3.1182420375432796	0.8730171747742866
3.6279682237030433	4.245074568895829	4.701668992149591	2.565043442534228	0.8812677718079877
2.0294672725242733	4.518580881076835	3.6119991865131182	3.524111634847681	4.2824423894119406
4.652479661469087	4.53035618056456	2.6508977284842157	3.3958508671203025	1.5889132187823518
4.684714417634181	1.4962212674318227	4.766201638004724	1.9930222741749024	0.16979767167088386
3.812781937434573	3.3715493107081587	2.1366597398077167	1.5988922322625212	0.8969686764914679
4.336833323073919	2.038561235169837	1.3916000806517967	4.277670341760862	1.877941740570092
2.599122023532974	2.5037221954573408	2.177498725314072	4.088680081613846	2.9398810302096625
2.4633254385919487	3.4592454913145914	2.4840872622177232	1.8845328080760917	1.7934006207496167
4.1781233735159935	3.9401064600798383	2.4048305164379493	4.791661661128887	2.4702384351530187
2.8230783567887285	1.338544826017568	4.500464455820829	4.439110526902782	0.7242128173284604
4.390159852457551	4.733450187435448	2.1644227963681697	1.636744428287216	1.0558358559639764
2.4562298048893108	4.974525373583547	4.719682037781358	4.6456873267107115	3.362474272469668
3.2836424482524524	3.582806678823056	4.051300497028357	1.8849817130290003	0.7299749416786305
2.417966551427961	3.9871033745062543	2.1546482863190968	3.248549022938748	4.2394014711670485
4.3985632863985495	1.9362265587204976	4.916342254282737	4.175027681310455	0.4838135883073403
3.9676796020154517	4.888971962262988	1.0678939123296511	2.1900692602521006	3.378549402371962
4.524415875625666	1.8504931415779902	4.630016635919838	4.699257998577506	0.5329016547739623
4.7479622889115385	3.6895655183210017	3.889909253962738	1.658235696112242	0.4196495909910198
4.85304281810237	1.4374998614383083	3.658137972537387	4.107161363020522	0.4188761763657247
2.7350825784182384	2.942663313150038	1.4180817359855085	2.6202831591752016	3.1337719409887885
3.1464155388254533	1.160644546428041	4.866093701262238	1.0267909154243813	0.11410035129399325
3.521630360791262	2.0089109499418893	1.4539277753001434	4.939734048015525	2.706699204868892
4.634996522802036	3.322715085195968	2.331223348448675	4.446914770975873	1.7436689144884825
3.2964786607524843	2.7253277729980114	4.946589593982718	4.344486554041245	1.0422908030527709
4.676816836739644	3.964481467266217	2.620164116986175	2.0144576176201845	0.8289799682333364
3.3513908783850352	1.1287849765472706	3.6894807041822655	4.960659881533363	0.6454470193190318
3.941180099572551	4.842615153967161	1.5535420754441138	1.370229199944391	1.452207034456482
2.355641569706948	4.788905869684767	3.6947347980676133	3.765754967088249	3.6004783987323035
2.7929163740650225	4.500638192464038	2.253104267666814	4.661913071312137	5.193940243804022
4.221912997005552	4.258067294673916	1.082168955228033	1.9195622038884608	2.3442602909553707
4.34651394574228	3.8223035735999487	1.1915901592701514	4.130425828228683	3.9591363345988815
4.823747904057697	2.6538261815242548	3.386617025567165	1.301300186287225	0.2666825670787833
4.815056997288782	2.4719596539064352	3.794893701436069	1.192731380042698	0.20364951373117102
2.4198851452125	2.68745043403527	3.655911024795226	1.9814931107814864	1.025850788422642
2.093077809778131	3.5422869999662767	2.964671450161541	3.675958541699384	4.018155141618735
3.3051062819252284	4.735315911049471	2.304962457890287	2.47967590574542	2.209983694423903
3.7147702123595567	2.783795147354086	4.64554997670975	3.7867918174164954	0.8358695251142539
4.570327519303349	2.253903300058502	4.865719468849209	2.7154232242018614	0.3523040890538753
4.173295085272203	4.483476887453861	1.143739725308094	4.764035336687086	5.885078290060711
4.315872878968628	1.6753978457679612	3.543828700968036	4.838516436654031	0.689857800961207
4.174504593738254	1.881679318209572	4.880475981426924	2.2725473545687915	0.2760072014080266
3.585009450631415	4.422763165660772	3.4884574372886483	2.6589994728209665	1.3041164452231624
2.4170762416986413	3.062848990650456	1.4139987077872251	3.5289619233991494	5.394240782331604
4.4414203874614975	1.549267249416392	3.9003044468499635	4.121117467092967	0.4756692736112033
4.454513721420452	2.7683486947309883	4.251759068192602	2.2792199880096047	0.4295873340177647
3.4320192438501365	1.9835361696447615	4.38007269144118	3.6659690921496115	0.6826224986648082
2.98760819886208	1.7249680803660508	3.78367938493537	4.474959801294724	1.0264199702319092
2.606914621648344	2.3042982247357657	4.382269135265795	2.7817628879908805	0.9102631161924798
4.4481387017705085	2.471373682096739	1.9727640247535416	4.0847497562596615	1.4840345313016663
4.081052159393277	3.1094558161271326	2.705637140286945	3.2241672656632616	1.2026336517762306
2.251296114840541	4.450428846862026	2.8402051299762867	1.9050561158268653	2.3856121127822028
2.004865403354789	4.177004240562772	3.991018572556955	3.0030711851749885	3.1277994586454336
4.585339878227622	1.2686492540325702	1.3179045121500264	1.17557137876926	0.3156285613807171
2.303785804956664	3.6338062056306617	1.3614119187885274	2.7103257026598655	5.5486515084439745
4.456231773831669	2.430422905057964	1.2745850505943743	2.328428987985041	1.2846155301988993
2.75544899455382	3.306311872022209	3.3643399337267628	2.1849991750543425	1.22322685743771
2.914083375074888	3.9967681375496538	2.1228428666806245	3.707026980227976	3.6463302588448547
3.8139787093715047	1.6208215058594813	3.269594976454206	2.3935857545550423	0.42166680892278
3.915217431634681	3.195875072548441	3.5837919353878784	3.1609626610868538	0.9669308575733704
3.5486854122462463	4.510672904963946	1.5650634010837798	4.104368557726463	4.64129868892713
3.3378292251006005	3.1928286329888973	3.4399979952944086	4.812318957921772	1.9105527853983963
4.795488494524708	2.882446068895277	2.7885830711393607	3.506770343847045	0.9550305179376191
2.423915239774172	4.959946423210667	3.3839882822292773	1.9889061040424132	2.047284871613104
3.6905932029851023	2.5635063504615214	2.0096919221484733	4.305734989807455	2.0412874536601957
2.4893841134386894	1.2866666903424877	4.668122072628536	3.2673969957156594	0.6046708627476349
4.570203894233538	2.4540126726784184	2.7957571589351105	4.781041606912888	1.175457304928703
4.1588086155160315	4.951334427812337	2.379552692197444	1.3427234267707329	0.8844844194884197
3.9326264659573047	4.103900490882493	3.4106893318563487	2.441355835820084	1.001679978462282
2.046197285165132	1.7109508526310395	3.4171091652214507	1.5368235715016731	0.735510887080341
3.1112765590033686	3.531014437658228	2.2191276699139886	2.1977712022473246	1.656359326001951
4.387273747372862	1.257540723570481	3.0948362979328468	2.4891860426019585	0.2986011232062533
2.906620829250411	2.0617952874453933	4.42705576520299	2.3705270503273	0.5790434219086702
4.679358582990852	3.4048950968777763	3.6171719811374903	4.124154231117689	1.0551090808177586
2.9671763864963205	2.056849480468124	4.447250390798611	4.867338119020163	1.1443507094165786
2.9680540482157363	4.753861155910059	2.268744543419646	3.5299771887936204	3.75833746440395
3.5893386316440785	3.1759733670556374	4.612029965778691	1.497944672121037	0.3983746118075487
3.2115851764828545	3.6576307359177633	2.4052194869505445	2.2114568993888915	1.520617392572618
3.5188197816977445	1.9633478823405293	2.2325688707236973	4.302374416418013	1.5021160978023158
2.1565343302508984	1.7759395841302932	2.9622825858042354	3.013682640752936	1.5622145904003235
4.830017689530044	3.6103234380724865	1.3959183323833562	3.1212040855140426	2.1076936488587137
3.633019708962879	1.199497674392894	4.284970006365674	4.369738570131554	0.4645719336571394
4.830962692534197	3.6002356130220208	1.4273285310530608	2.4561475216080755	1.617161903320078
4.987845847899559	1.0277347169794109	4.396597031686639	1.3411470491484851	0.07861445377164948
4.81084989083049	1.9321761979144831	1.618900812529271	3.7574909173598336	1.176799794795904
3.2535508383668503	1.703461421050377	2.6341205644503214	1.892829963044276	0.5431764042133875
2.259152684235218	1.3227221949501051	3.3313053888569546	4.120753742802884	1.299428715268404
3.648955270584031	2.046827067763178	3.512822019063635	3.103108651336348	0.6825702606895864
4.804616876128787	2.742515611703954	1.5654900020865266	2.145275267619581	0.9878042856326248
2.764731917249086	1.538448383522669	2.4257082782593145	3.2294260556709347	1.1606224420611821
4.1468791020066345	1.0562417807077789	3.4067879711380042	3.339962282302726	0.3290635217585504
2.5039872343620058	2.9621823436732972	4.152724986154375	1.459341541817781	0.692135959465038
4.138180150235613	1.189488821932314	4.760380620736674	1.4311109644559434	0.11394994624820658
4.3569370210860185	1.1283127888114293	3.4201955113615807	3.411564127932294	0.33526554500556
3.6160754352880256	3.4913611537123383	2.2099496108591548	2.820482551620884	1.703278084698333
2.185093422185407	4.682678957018485	2.732150868259124	4.9431925358122815	7.1489892712452745
2.843304543760727	4.427294483392423	3.003035483268752	3.6332937187107546	2.905904656403952
4.742666664912911	1.2182661807173742	2.1139295998585057	1.2982254030508242	0.1999036032300215
4.254847017418868	2.2658660296539286	3.7909642157242063	3.5512202286507217	0.6521260791594152
4.843481763491457	1.5548662602341143	4.960788356234737	3.0139139241193926	0.24578103054842684
3.3832200002662063	3.254589347778276	1.5072431125778818	4.29674611794418	3.8930362623142485
2.1970653689198034	3.67849595160232	1.791979613765028	3.323960008795195	5.700003744404727
2.164473203714996	2.112243168743984	1.7758324782521746	2.7019915870589633	2.759919487082069
4.062327030892154	2.436778616212415	2.4962520275087186	1.8047091299061744	0.575285319839258
4.3166333667485866	2.4662900132801933	3.6784638559890266	3.9696503945122545	0.8024767267597389
2.908015407498389	3.154788555160649	4.424479173390399	1.2385075201458149	0.4628335919580642
4.047044228997292	1.8575706986823384	4.221485475788624	4.186040326783578	0.604511687905831
3.9159754778134968	2.7071210249670394	3.658438520923992	3.5860700574326674	0.9100113580417966
3.9235573594655353	2.398356586368315	2.017699821462005	3.9433569136045716	1.6032884595936423
2.247422476574577	3.387954486071024	2.5189156312781678	2.6071568185590808	2.8111080270658557
2.478046670310456	2.6631765284670768	1.5011681971943251	3.83866032537146	4.607465967747406
4.890296233049745	2.039563389896614	1.154992978023636	2.766949163149023	1.2559616284288622
2.876181323346229	2.867389066465692	2.9799633792710334	4.6942810309728396	2.4075203969551584
3.3351531929295755	4.7166466398527644	4.275044857216686	1.3410540573054064	0.633612260997263
3.522700384051689	1.6210394806070796	4.100247907441632	1.6568369450374971	0.2596555282326536
4.677191043664336	1.9796155707054062	1.4791752327305998	3.094681888315649	1.1263180765341014
2.4194069257619826	1.4719691054159822	2.697684957772194	3.169526115758218	1.218413995981506
3.1920475335028438	1.6264315939461178	2.7826304970005804	3.0452372237614616	0.8119913893365837
3.5930531548442834	1.887148912611824	3.5618279941380004	3.2972448701508963	0.6737100253595596
3.0220341140665696	4.037132558457678	1.6095193282476097	4.952472758240568	6.143423153997139
4.6217007995517285	4.844076944938359	4.803724074124722	4.104741436290725	1.142894692544841
2.233370561740791	4.8348608592788045	1.4475756265331254	4.788099449708105	12.966187630924166
2.1915222937436205	1.7226948629187313	3.864929410790265	2.786236728680684	1.042275748110803
4.928783682612894	3.5098462401566506	4.207352943357307	2.741498687729057	0.5821153759874308
2.803797051824328	2.3080859702742926	2.819148995883308	2.9001808671696923	1.3163499520823905
2.825342058521324	3.7265208760274864	4.427822747242146	1.7413994249028506	0.8029111101754566
4.743452029772373	4.409002184216337	4.97217092970995	3.0897228790137037	0.7318827654346065
3.0120658633033157	2.370110629682013	4.749801475785747	2.2433850673763667	0.5563585823454108
3.7732933287504378	2.4734953260598624	2.868226581089772	4.9832614618802005	1.5495853618486617
3.1675336482482	4.87163869852097	4.4910545311992305	2.491072427625088	1.2466577752429109
4.502914926502595	1.3236379789372186	2.3271815063183974	1.6372751417224598	0.2658465575252746
3.0139313742776666	1.1340996622960184	3.553328260018584	4.513810564400191	0.7153433631788401
2.985750960955885	4.951871999491088	4.87677866068028	1.8540015795045024	0.9480291332281564
2.416726891383799	4.902318740757325	1.323125446705559	3.851799369258439	10.073445548018725
2.3955126704036247	1.7951093651765455	4.9350637794949215	3.183059260310681	0.8296770614473238
4.675978598151492	2.0017853279713065	4.615136290401617	1.5387455745760272	0.18156277576183047
2.725083810276356	3.2749469523013266	1.4895767139166498	3.776521571709666	4.813080944566622
3.1782275600488616	2.230033320899229	2.6949382356557243	4.807638812990213	1.8263799048340432
3.1788109480236173	4.575858958179434	4.819614496266791	3.733121407872622	1.6267203255208842
4.783138202819036	1.9276557797613358	4.228998335192949	1.0631191095775296	0.12809190612105825
3.3848864772	2.31423898888498	3.970174667077084	3.7553759191387766	0.9178765998603392
3.8125707870069965	2.0108094121662465	1.3090363800585116	2.002732487744195	1.093801902065375
