q	epsilon	r	v	c	target
3.40548245275967	3.3005234966310444	3.4167274442809403	1.7809507728119505	7.731744977601918	0.031223257260915682
2.991504917690176	4.87736993409187	4.845214251332745	1.0124210080799534	7.209643891257192	0.011719197476519415
1.317647727676848	3.0860138528444674	1.7622200336220222	1.1038598866846678	7.1121951415797104	0.022823432205542563
3.7169606222961193	4.0770654961693005	1.880629578196229	1.4734185179242432	4.862603619374604	0.055347846264780884
1.0294602795252814	3.1291002146945224	4.0726887829513885	1.8230240463063725	7.730382197292822	0.008412143992945641
2.477379571600917	3.130286613757619	2.697406965776481	1.5215412053413329	8.619876283945741	0.028352845124033983
4.380033608229773	1.7937869210364763	3.030274804488988	1.6642796363396006	9.341492666132707	0.07802385360077417
1.82932309246716	3.615532151229925	3.818682269330912	1.224953091516663	9.053736001619068	0.012193499827918602
1.2371831066788204	1.6004595560794423	1.1588984197360253	1.9459618566879808	6.121467423488048	0.07781808124994273
2.4564812925385566	4.759850226708403	4.98036864718526	1.5171339787051232	5.935922939812879	0.011077297333600168
1.262087964918056	3.0198237523542866	2.546237830025874	1.2349216535416467	3.5879278162526558	0.01991681231569826
2.960512084947542	1.481635211209035	2.305016636317587	1.3914608871587753	4.6088108857814065	0.09881712160265793
2.825924009291308	2.0766026121539256	4.69389666426484	1.0322056322710864	8.570134253390846	0.026230060933551583
2.9267194423591207	4.498244434808553	3.632259910570552	1.93480060936706	8.880608893502993	0.018225154217231962
2.1575340424484635	2.350358245998689	2.749911244937545	1.1257300686704086	6.1547615618763025	0.032510371345479065
3.7899690464435833	2.9641188461040326	4.7840622962017845	1.4672047006935158	7.31238252021973	0.02660691574106624
4.661939213928274	4.237936760570353	4.808208972055471	1.8458102658639413	9.098734825930556	0.022839510094431564
4.279048054902637	4.935926528425681	4.635720414119543	1.075500219660845	6.893844720633518	0.01763248174454814
2.8681964361558028	4.025107492352982	4.239963850482828	1.1834271971820054	5.048541449973769	0.01746879632140548
2.448680802849402	4.140852083149282	3.4806395078493804	1.8789712713328808	6.727468306047276	0.018759362510708796
4.038505136258423	1.9756663311414664	2.6021263098808913	1.103826529403377	7.400945902343043	0.07347068795738909
4.905302355579977	2.779849594566993	4.476664555613524	1.8617028507524185	6.953553678195457	0.04283622642128192
