omega	c	d	target
4.1495595554023526	1.7517709088049362	3.805654791260873	2.2202830544887853
5.3205369809912755	1.0221687913724522	2.4133965497484433	5.039745377809831
4.421180805804077	1.1817384632643726	2.2079764576955117	3.4601293411397087
5.199676879065988	1.1723134397753523	2.9619994512790653	4.306717513653142
5.236701962618393	1.3323327352637784	3.2733635020071583	3.8115000700268062
4.8427360409612366	1.0165634372202057	3.509734035521681	4.678980991192307
4.431401862387199	1.1641275358994008	3.6813563767560695	3.709739868912518
4.549126217876903	1.6130376769597892	2.605236877144242	2.549415958532113
5.504527055900973	1.1342088159957526	3.0570586135625564	4.743137317607615
5.1140654658281415	1.4252893646438012	2.531873782168556	3.366713103415356
4.3711731821114785	1.4746087023973244	2.450567111769739	2.6727417936109314
4.277638991334703	1.3823491429188692	3.1743674662439934	2.9319434332602183
5.69815092277014	1.408246614891754	2.8280038340146856	3.890791581768753
5.120829550352911	1.4121087399332026	3.9132515066114255	3.5363910201161777
5.705044735298588	1.11113618207724	2.0987085783465416	4.91136980490664
5.1631775765143315	1.5528467968391808	2.014439423820434	2.9365467415788062
4.8684724586160835	1.1736888791754032	3.6157322490930484	4.0559894888806935
5.244604736259689	1.4106063690357018	3.7082399149325553	3.6201701966285036
4.146981974893622	1.6685192450985151	2.9919039877240703	2.2527270948511133
5.7449476645452515	1.374607321457754	3.2927149419659867	4.06897355771751
4.064852449888655	1.6068211256877492	3.4867059581399023	2.3638500827827853
5.831065671821171	1.6601066116646723	2.1975689047423765	3.2083825717106205
5.285376396382612	1.089753139643398	3.2997143792319763	4.755701743719325
4.743219374228571	1.5705301725257432	3.0990920628330594	2.8449294447131868
4.3718697298718485	1.7386523902271596	3.4134351377618604	2.3400272818845185
4.8338973695691285	1.3480305192140667	2.667613039197898	3.386993097930889
5.366031884300521	1.4639570715194905	3.32156024977131	3.5412996624251005
5.256016780656866	1.440181029415915	2.341578143960104	3.39399393850388
