c	v	omega_0	target
6.887100501057257	1.0059787968557867	2.0905414960215998	2.4218762149103714
5.146989228392787	1.0713093837180183	3.856215471826388	4.7631806031884665
5.950806203074653	1.7558366972930912	3.61720770368741	4.902771590385677
3.802894255725045	1.4394621856469478	4.80349069504695	7.153995535978536
4.273019697634089	1.8404875902448947	3.97484575844066	6.301387792295582
3.764162254578993	1.0728227771623409	3.415823068884871	4.579293694578133
7.557873103418739	1.1761197903133889	1.2838765235957137	1.5019645018640138
9.299426757503113	1.3443871464926376	2.2386909831786554	2.5895339737662035
9.134600783175738	1.076502068939599	4.714575866518625	5.307165884214595
6.132609166334992	1.2296726748067943	2.0668596301246573	2.5327310130916847
5.625181826306669	1.9024714712972548	2.9583732731179557	4.206812453299678
8.867517276927554	1.7528869885850693	1.7385735369065336	2.124160950187811
6.658854212133316	1.3792509612149528	3.098273689075632	3.82292675542592
9.409974102050702	1.478420726786387	2.510984239758873	2.9420279315730262
3.169184505860839	1.6029662355051468	4.235566267600402	7.393369554556965
8.67257520185609	1.7078433971017632	3.5832856922970038	4.374583094819498
9.958288812972107	1.3345080513956962	2.454031258363655	2.8082256043594347
5.546010827369923	1.4781357036032627	1.1046233674289634	1.4515339610985112
8.073990762199848	1.1685519513510347	2.4667862039446944	2.853853027669337
6.995135484900991	1.5263087290569803	1.0419623979408792	1.3006533571515515
3.3076955493456213	1.2110036976775522	3.713422788776696	5.451472341196428
9.940864262487768	1.9589425232606847	1.2736608115436496	1.5551418502736252
4.30385266333222	1.4952269557902902	3.4071752911913293	4.895838463654718
6.2418091719920765	1.6136632241967317	3.5303224101798016	4.5993557231451865
3.666453454504323	1.4988514620842253	1.532174357435041	2.365191996795178
6.493411536390528	1.298885595736016	3.0998356407959835	3.7966316152309285
8.231529654736452	1.6603643536084869	1.537811068106484	1.88678108304594
4.438663571906144	1.9468948919980429	2.4534413857760327	3.927545891616796
7.602774827029668	1.97591778979238	4.824341291660037	6.294455994730716
4.305021972320313	1.4780935403871558	2.6390709882424304	3.774631840861209
9.160140236829776	1.889342347746087	1.4358175110750808	1.7700241027805057
8.473075272245588	1.5563817052257716	2.175056631517801	2.619147828097194
5.135154237468768	1.6572837568435481	2.8918819539307665	4.041445254933336
5.580642021823016	1.2026656827718067	3.0096300426520823	3.746253549060517
5.4131976753680044	1.209726719548694	4.177252645997838	5.243383413954987
6.318609660381414	1.2561984712644751	3.501208400563475	4.282773151960426
4.303878837065072	1.3163265283932992	2.8848336261227887	3.9567545024013078
7.113972457081106	1.611666944889079	4.633125531014227	5.8344557116782925
8.342647685222651	1.014411005216875	2.449448537979978	2.7678226095438725
7.066799881985644	1.170762933151165	3.7799614636302685	4.4679329152942735
7.831111313743089	1.427306123646122	3.556872004641032	4.27678639981086
4.670507448408067	1.7358118310563315	1.7664244029215346	2.609863620729285
4.515948799538228	1.2699180744190617	3.3399396227563583	4.4590929080839645
7.598785590815552	1.2729826452494817	4.33014348827191	5.128018133128167
8.555721772583231	1.8742012550633167	1.1924595838456875	1.4898637961225407
3.4194647629007235	1.534587910603645	3.874482845727953	6.281343761095204
3.133408876299908	1.268423112143862	2.2927432894940982	3.5223653603352703
7.021462836153338	1.1279071040561741	3.5045056515362267	4.120975986264128
5.667924534561608	1.4903539904729737	1.4250789432597988	1.8654401642555485
6.359276721152567	1.0913822004866436	3.4539176431257923	4.107624957198682
3.853896033095024	1.028003455352395	3.077480766920253	4.04493865821016
8.312717237486932	1.6082606889336741	1.1705743117165939	1.4239490189728277
9.514169882328217	1.7564766005373165	3.4765233043589885	4.190378535541526
5.3737774453416405	1.2474462745162591	3.2655277535182776	4.13657087617403
8.664265233975406	1.0595605931938832	3.357867312525824	3.7970030048830528
7.562805319182156	1.1477964147449589	2.837454185918727	3.3063917221358707
9.07718005015742	1.0631596224454616	4.0300525322283125	4.533271564495756
5.446840555011479	1.5720433703995764	2.3594173465522963	3.175516037768773
7.508379147332692	1.6333933674012835	4.566437583072191	5.696253664165343
6.3820396659303915	1.667875134135286	4.088518112687872	5.342680456496825
5.4236355562323615	1.2506701875444173	4.2866059022574685	5.421184850797172
3.0103904897655385	1.2193560621202018	2.8851751064917006	4.433813097105117
6.01244669454608	1.6025738072150402	1.3173291279915549	1.731078640016671
