omega	T	h	kb	c	target
3.2675714302092413	1.085019838291815	1.6224673874346087	1.4473998982247491	4.2610207998779694	0.07067584241572071
1.862933880450317	2.4065054323320094	4.64813818378259	1.3432248562275344	3.3596111851079664	0.0807586008195548
3.2829674411869028	1.2857134607586849	3.57571326076562	4.001535066180354	4.3730507958806335	0.2436664885369225
1.5262892406002004	3.768966078619865	3.854057250226522	4.9548846404560445	3.7650896359508983	0.3032127536042247
4.141569260454645	2.4403927988551013	4.257205944998703	3.1045888303261333	4.496956641166241	0.5379604089932959
3.730286143626933	3.154146296844805	2.8333773247654004	1.0846568830639292	2.0953613470340233	0.8505610371522623
2.7149219102611344	3.1765777772979984	4.594121245153242	4.710413488963045	4.391251102445374	0.5419139174572114
1.4848593500215492	4.647823961588762	4.872300104190382	3.0953713514714813	4.528195124945468	0.15055247014851267
2.6993051490822477	1.1847658415989488	3.4022089262069986	2.2337658523771227	3.967610642979466	0.09297874889740662
3.838927831837713	4.156471120589838	3.9233665352709775	3.0779727335967655	2.193876514380552	3.608804904427881
4.69454134354613	1.579195759063388	4.320303645003345	1.862304459962942	1.6913633434253437	1.2617554517219467
4.101729944897186	1.3895337069312812	4.857161851852025	3.81081173821245	3.032577613094169	0.7168029378566554
4.042909213410038	3.1436919350848966	4.431666316198894	2.2533336138928117	1.7778948772491008	3.014403865308091
2.0403696256220605	2.9340382510485337	1.4966256212806224	4.5014109535131634	4.203847867505038	0.3094733491025217
2.920182231776105	2.036863235913508	4.619291035006309	2.2549520147211912	2.4144930885783507	0.5339767224060143
2.757518015282089	3.984719539613781	2.07611206771718	4.357615631330534	1.9276780766308632	3.5064711204408754
4.574317985535479	1.724569319946172	3.3916395289614187	2.9882760713123386	3.161851917774934	0.8518888625328216
2.1376880765017834	4.689259539227201	3.82359896014294	1.353237130847048	1.23862226335611	1.7254939696866858
2.2902849507089416	1.7254788253293707	2.007943559312721	2.7694285625618766	4.583707144865281	0.11185655467906733
4.711755348706138	4.7711166736336885	1.709168003551213	2.0587737124019094	4.616570110563809	0.9705392237377399
4.076606539205469	2.3777994346629905	4.561419599577576	1.2981108388978502	1.603679907962738	1.2045834191285831
4.9085281925415805	1.0068301157457649	4.143849672447964	2.8914884137041814	4.909621814896026	0.1606835560177335
2.234780824856763	3.12755723683658	4.6381875455732455	3.52760193698007	2.84491694094095	0.6395021057219772
3.937904953068074	2.6333958646582243	1.7515563311252629	1.2628342203881888	1.5320356113009803	1.8789053735649959
1.2350304931873315	2.6569926704411624	3.121326366658551	2.363604553628926	1.707146145192385	0.3170242737157412
4.278203722984913	3.4324775880669667	3.829773056922768	3.64228135937912	3.198347965361499	2.0383245100969893
4.3467719817854515	1.375400936528969	2.1985480233266004	2.1634489957142455	1.6479001944467158	1.6070746437961148
4.608617226022728	3.2516037045287174	4.202605071552076	1.2984386145773137	3.981331142590976	0.38918688817649216
1.9114624712840391	3.8075837585085153	3.3153117436290915	1.1023892810870275	2.1670979530306744	0.29271013963849424
1.7201316119208596	3.783720204689098	3.6527725005070515	3.5048169860207987	2.777441219595799	0.4961815155989418
3.8897605720232926	1.854593044201432	2.0893681430412347	3.004053362702749	2.5598808721666715	1.1579058316867057
1.853719205138536	2.3068391339717262	3.2853726027662216	1.6723823023456859	1.9358865634655025	0.3152699643575609
