sigma	theta	theta1	target
2.209760882863341	2.797394530000404	2.655328399825009	0.1801636877968663
2.773932170457961	1.9168500367710888	1.8715111839769836	0.1437991167212979
1.966799141897963	1.7937431056994404	2.2793229579644554	0.1967497053350651
1.6700425757475243	1.4805339714106542	1.6518544155228494	0.2376278602975417
2.509962563896062	2.6118037897671993	2.084276778400868	0.15547151136563087
1.0665962788553027	1.2686582783300993	1.97581744812473	0.3002321735365536
2.152555984092544	1.70495934829216	2.794438546171952	0.1630530441075476
1.8488450984144267	2.415117895888208	1.2540620233108006	0.17716295792193248
1.9623726421817151	1.4063428225830192	1.8438769755097928	0.19830504747322314
2.221200306417272	1.5725307338180772	2.382119972418128	0.16806405271897207
1.7586997326939868	2.6178474244524814	1.546197740510609	0.18840485600432166
1.493353626079419	1.6264343286855132	2.7227091934730696	0.2040446910632748
1.3432273688427452	2.708500325882269	2.780201232328281	0.2965799576714891
1.2619119479303131	1.8360612229511288	2.243077342721552	0.30011717312647
2.159413060389581	2.830915352893892	1.2832010576782928	0.14289783758295274
1.4556824959700292	1.2309386607137056	2.0754609032590388	0.2316092464670337
1.1973238514832931	2.9973137523718965	2.574435197886844	0.3130482934310831
2.110204447777242	2.7518097306122806	2.094891103927186	0.18011153460209764
1.1545809569617944	2.4557031520297707	1.2093600680458292	0.19295257814587685
2.9070539527359647	2.2995247964284955	1.86287439161688	0.13569313574841407
1.5794168889930722	2.801857118319885	2.472637096784795	0.24716016496042595
2.9042004711729987	1.9281200682948272	1.1890552513556318	0.13299057261941274
1.7425923847994844	1.7613694507990485	2.2239739861514627	0.22100955319957288
1.5401756727198908	2.502130279134425	1.54453107247916	0.21349977035671103
1.6458791141159597	2.6727993199637186	1.5357686261037495	0.19093168147001016
2.775380620670414	1.3696584424205154	1.506384043644552	0.14356894744941734
2.538473656149579	1.3317957152270583	2.721563624553994	0.13528526922295553
2.2058763944274493	2.1405110344870684	1.2259935756141822	0.16596096136040972
1.1961670485619615	1.0331451917159546	1.985491544235399	0.2429255612630471
1.8560432329715608	2.882008820424906	1.6275106761725842	0.17104898045424807
2.9402826790757657	1.7178791607345858	1.4226423053078356	0.13499933206475606
2.93882002597885	2.374317882049592	2.8768141875031334	0.13377918073781894
2.26693226997746	1.5508530898962352	1.5888575211868101	0.1759585971105928
1.9367560817452885	2.2286449248997817	2.2931310632881114	0.2058706347447048
1.0430365600971836	1.9976334579606796	1.2913269597048898	0.30411477453329144
2.9255879380244143	1.8862773094795888	1.5928262432160083	0.13567885532365453
1.347181714714207	1.6102669294099503	2.5247385677450422	0.2351949796649913
1.9747101791128387	1.2342533596635197	1.2412758130014805	0.20202446010234698
1.2649628733180718	2.1112940486314558	2.760395653246425	0.2764743995717952
1.232366927788445	2.0598825186138474	1.9997541637964995	0.3233352839173256
2.534390524513627	1.4560587964023135	1.0689976975181483	0.15558641825953848
2.769912746277474	2.209046677493619	2.759811624259549	0.14120780166435135
1.5773974921821936	2.3817749054817376	2.071396614930463	0.24806280804235475
2.128831238790164	1.270959095897406	2.7487594325296367	0.14727447148744352
1.7715708007979394	1.989727544372805	2.8177036875997663	0.2018921293812442
1.3916117759047253	1.560577636468484	2.8499602288295587	0.1866279110345896
2.4062049244220067	1.6191213368891169	1.0696000591238377	0.16152953222103414
1.3207673092698775	2.192878208603953	1.7481114568654097	0.28540351470175457
1.825428862968548	2.4916654088018486	2.5806234777958066	0.2182877955329563
2.179030706954656	2.667492636779785	2.9385306061695893	0.18167163009614565
2.218654959266789	2.412421240391123	2.3258013790214114	0.17967568648702115
1.779202770269832	2.055515102527031	2.5404387711486764	0.2160498813414604
2.0028080434029283	1.0838686457438864	2.7649134223340828	0.1400525081926264
1.7109751477397963	2.3836272615712053	1.1616629839415429	0.18067834881440634
1.9904287167784804	1.3761710698546492	1.944030498482774	0.1924372384296882
2.6948967752011206	1.7835496980171888	1.4811606830081017	0.14710719302458264
2.362031639787461	1.1248739806095842	2.9530119433364432	0.12518354914017588
1.7541893652041665	2.7930227688179325	1.4186045804880374	0.16731343970135176
2.8836445272698312	1.4885506308239664	1.0569593564078723	0.13680566753454146
2.077504690684111	1.0734297967805655	2.3417555207514917	0.1593800239114926
2.5092301332314237	2.7557073425413554	2.373864465351692	0.15715963886281112
2.213430898965175	2.8775831909768126	1.6690923356303715	0.15527930355590489
2.8407134767465263	1.4614396972351404	1.6623056857517566	0.14008670752212754
2.171725208762329	2.6924176621871356	1.1444415648766997	0.14248869632379654
1.7565224311986685	1.5555858687870576	1.0418273396808877	0.21761048556073603
1.126762505491422	2.6615845001422382	2.9814601082773167	0.34007689381191997
2.8140667845247758	2.5868247747854256	2.0865139272716773	0.13954422054217502
2.9945921088572125	1.0164893736140994	2.8851521527543995	0.10965213448541046
1.3997704980812478	2.5728581079760944	1.4535563583228401	0.2070173317868808
1.6462490749650605	1.7845413949688798	1.08620901222502	0.22148307639264148
2.6835412796997167	1.7348667961856017	2.8070053589140764	0.1372590236155001
2.427135322605421	1.2411901909905618	2.9499146868366517	0.1282896894950859
2.0841639869482926	2.3313671489583694	1.8673774601111484	0.1867307434629566
1.0398487439772428	1.6095635352708784	1.8257648101030055	0.375450610834875
1.3459912953619528	1.2067636943178046	2.1200745096902054	0.2354448650013765
2.9409817756089014	2.060913264018715	1.3900273022091727	0.13216547731125236
1.589657951609564	1.190063256232741	2.0386582329091585	0.2176339919126561
2.7450020676571154	1.7241905480917972	1.6707000018441671	0.14530646377119733
2.299088499357918	1.406024625624107	1.748073251330876	0.17161213365240793
1.2323057371552155	2.2442392274257443	2.0665614407881416	0.3203888294999829
1.2233164837499473	2.1477922497733184	1.2334579903279497	0.2466402882677728
1.9007814855001608	1.8889615639771584	2.3946787094232533	0.20258475512441607
2.907801169859585	1.083752710421727	2.4629558688710134	0.122600845977158
2.80627727704175	1.7434306282641576	2.3292696670140223	0.13909644482548605
2.927710696986112	2.1309427364907405	2.6122524898830943	0.13443524196314155
2.1636808058532697	2.142859755779657	2.728320550643432	0.17775347588560314
2.1081700016388814	1.302491743751318	2.8162477006473936	0.14623338237078726
2.9691914780975224	2.7886680437537748	1.1764335623498057	0.11594422227249072
2.688303441685642	1.3774762939729523	2.098887346987393	0.14315101172743766
1.1728460481139789	1.379456394559704	2.0346791288507244	0.2910027350586508
1.6923935976915978	2.195846024718194	1.9278403546043668	0.23278938335104696
1.0291670546471925	1.3991041906193071	1.3223207097758602	0.3865587351525075
1.2365792086287557	1.4147753455575154	1.5865369730718537	0.3195204215567948
2.0016006004512787	1.7807684927831293	1.7114211030012494	0.19919204577839467
1.1043481199649163	2.851298758182346	2.7481572544498354	0.3596747430435866
2.6695733092179488	1.6816363612111562	2.350510742479029	0.1448225563752094
1.8296701501430697	1.3144784028032162	1.4100136602821898	0.21774352199326166
2.3587420937047936	2.3193309197229537	1.38001874919378	0.15624047864437432
1.0614818920606506	2.385147901210248	1.3779452084761268	0.23960187625772075
2.5478213088744903	1.3795793723480694	2.2466731047177	0.1477714357112247
1.3627949992112276	1.7184092167812517	2.8481856481846464	0.2076069692179769
2.4429793685300782	1.7182580922850716	2.381637280669294	0.15739050586094416
2.63204870305413	2.73027497384994	2.8164666245480605	0.15148976211701712
2.9993298478748938	2.3270974502124546	1.3403193826724518	0.12600322796857227
1.0624974889135652	1.1793753719050386	1.676767543435035	0.3365071301709699
2.6679270087918083	2.7863300626434313	1.9017168607575248	0.14153465085087025
2.2346364387626996	1.8161579430067492	1.722257421812342	0.1783691603691101
1.309274629529752	2.8149806235492534	1.9047062067887135	0.23928529551767505
2.484663926726159	2.4856094401167126	2.175901075394502	0.15931936544376185
2.057482421070076	1.6671475735975776	1.60810210702402	0.1938184411998212
2.845993691601689	1.719407402232379	2.3059112639580133	0.13723158116213172
2.285119622853008	1.736218502415382	1.3804067558138873	0.17247906341861804
2.605028127543516	2.557128619232733	1.778005275865066	0.14644464775565888
2.465331615421434	2.749721956952734	1.161975209524624	0.13151268346789854
1.9133423982469688	1.8134534198732333	1.3425387127814927	0.20228491809304036
2.4018371839066104	1.9268960396718489	2.8593026027826203	0.15404288339946492
2.2833885009226496	1.2482279012145985	2.7171674651699487	0.14205704566122898
1.326926371988292	1.3342799671069208	2.152542877898986	0.24859286278711676
2.200439402764264	1.3359085998455575	1.6618114595278022	0.1793235426003532
1.4627070690024118	2.3680076870562874	1.3784670135171633	0.21695561633319174
2.0097520365939934	2.1869888309182777	2.9997302036334865	0.1829176751832816
2.138259570958944	1.2631292454823475	1.8786305649290524	0.1790016952528727
1.5069602030915954	2.6433620797859216	1.6923378851906223	0.2169325185630844
1.700259637767657	2.2210746478551497	1.6172215322433192	0.22029527014907774
1.5959957641735982	2.8303490532523488	1.620475837023729	0.1875387334191027
2.611332436525758	2.9082312607810747	1.527208232893612	0.13283542520007596
1.9560068144211182	1.2410621977848508	2.6211656739932456	0.15901456882134932
2.163171743506791	2.1001489192193747	1.2097229962450111	0.16944385970556688
1.926033851898852	1.4877440673507245	2.6007843749534976	0.1752781338519533
2.7984521428384443	1.6752457699449057	1.122406073561679	0.13980336502552945
2.849142610056192	2.102917537968481	1.503015558297256	0.13695218842911533
2.1196341175717306	1.3092199823279496	2.505890273403628	0.1604859965730228
2.1017920131600114	2.3926128291267834	1.0578976467340988	0.1551497197269848
2.4184529145728066	2.3604947663099467	1.9532305731297959	0.16263519901068482
1.0542303285830257	2.8992378126796545	1.6018991979757786	0.17747227070042687
2.2733630617284457	2.0405368052059405	2.4588001702195963	0.17254038997277635
2.7346327255946816	2.5537869278872227	2.520259055911892	0.14587417662570726
1.8968568543431508	2.5572590685939645	1.1118135190573422	0.1573197244494959
2.1038225430555983	2.2902503846209776	1.878705537130028	0.1860336669119963
1.515209227479506	1.6313516645669297	1.8138079861558771	0.26138989294877224
1.7813837396347858	1.2162585571783997	2.89033096301514	0.14400561371287862
2.0486464334669408	1.8901962584002567	1.0458462884823032	0.17887792088429194
1.1947971565253337	2.7368371882326707	2.075905340925241	0.2865288016088765
1.4857784786067108	2.255361836516541	2.9915862852973447	0.23748647712951304
2.301337836651861	1.4901940602660788	2.0948638089048703	0.16747065054681096
1.7399047919664818	1.9550247270732608	1.9208523658080197	0.2292454994649522
2.9079091050097854	2.2161920841188465	2.5993130024393616	0.13600657576803474
2.847159215169273	2.0838645604194244	2.729567347152039	0.13656197184046284
1.3877014616967769	1.3469591749596173	1.6881550632503184	0.27892464538313866
1.8494185446725548	1.1284088090422506	1.990480912802281	0.1935055517066523
1.5815019423954484	1.659635833423897	2.307294291011816	0.23196534305928154
2.595266129273176	1.7902886588089229	1.6573105037516118	0.15351756274679412
1.4505161757724228	2.9910595880024506	2.0945193415722763	0.22721202373023536
1.5809876503398403	1.7180262630956529	2.9325344815275454	0.1878614145913287
2.1221018929602664	1.0368930738919544	2.00808004065788	0.1693023908154055
