gamma	pr	V	target
3.722836758448096	4.237744503079603	3.675773278636034	5.694286102333953
3.2560350657189194	1.8649670230892408	3.04560241921943	2.5442252294586134
3.856636939472664	1.3269665485061144	1.0406616275838196	0.48494355309377457
4.357032689162807	1.6198519606798705	1.6222496724615951	0.7791741321811275
4.016725532749142	3.6391728602307465	2.9275259837357432	3.525139544168062
4.294484423925413	2.2332230581496537	4.084378992170912	2.7676518083123467
3.947686237374505	1.1766879273974773	2.3162406708145107	0.9173250903105948
3.3477214399872675	1.3949068057290006	2.7833121982534963	1.6528577587881947
4.170850967605712	2.8152841951722123	4.717516697185231	4.201004911716191
3.4563017496813817	2.1261845456646573	1.3797926957681033	1.2135540815254164
2.709293413481781	3.107540977874835	3.226216551877444	5.8520356934604685
2.113930745945881	2.919114829092304	2.009413239685044	5.186968006775901
2.5332814395779018	4.009158348473692	2.114157875571766	5.546655802091908
2.1617606616482976	4.869486025879545	4.40001713903149	18.243792930751148
3.519959715863649	3.013583417815534	2.26227299906115	2.7200836089056097
3.0611557337997226	2.6378910031802274	1.7955672962646654	2.303471819865523
3.313147477148536	4.665175209485178	3.4225057122113265	6.942481115961802
3.470986781719891	2.763112985772066	2.213513724781852	2.4594771130228126
3.4904068495274725	4.050603457189527	1.310976896830402	2.0999175207079857
2.4178111283558272	4.684268242297383	2.796537025266353	9.308074599945513
4.358422390296877	2.2696241881210315	4.979516795592922	3.410454649389597
3.7275835006200766	4.103009270319942	1.2307159778444206	1.891269534012427
4.132284982164994	2.9133355934354435	2.5955320570392657	2.438044544853301
4.155729957478004	2.26152359307516	1.123529091017549	0.7913862267347108
4.144953615611271	2.3452867492988627	4.0255490418387465	2.992644342559797
3.676193220918976	4.119559684016706	4.278068717808764	6.613007340274986
3.2142157236398594	3.883582685743834	1.6209861784999662	2.8318971018834707
3.496828965086847	4.869034225310721	4.62705071430845	9.001480271004175
4.109258155317534	3.9851985662819422	2.668862596603712	3.3829467578004064
4.33670993675838	1.3014308322297552	4.174355924419127	1.653002296052174
3.8132727050859017	4.593617023271762	4.129867284291085	6.767710253837498
2.8601480542097013	4.357304837341512	3.209908563354282	7.5890543677992435
3.2315273715692423	3.59302109386598	3.7091926202327	6.0791827832710155
2.4333334407664564	3.375183854188372	2.763279770037689	6.467035096839957
4.603366289807387	2.3791214420551072	1.1988348121067889	0.7845136350969742
3.87008067729212	1.1747400950664448	3.5944184906057948	1.461318049792934
4.247140854573203	4.523835835445807	1.0136671899990208	1.4261789623060757
3.941188240569372	4.11159535975296	3.2730193358413167	4.60091116225236
2.773432707268843	4.158713976405363	1.0768528930328216	2.525731816869668
3.941168416419808	1.398425778581438	4.507516919086316	2.12006047778279
2.6195701077639293	3.3803249357181886	2.406485616312568	5.027379983668925
2.3940599273770657	2.9596544033973244	4.0621428671495465	8.711913108644039
4.113770845817742	4.885552378415738	2.3162628140962727	3.642965205427594
3.2157698439279465	1.194631445140498	3.3705428837126177	1.818096961820027
3.5025736734932003	2.5895369102212644	2.0368401033311736	2.1280910627344927
3.886792341211992	1.7664182559179844	1.9804222096177668	1.1972815691506764
2.166896015804185	2.3118747269464075	3.0204274908920863	5.95022196060438
2.9489328517937805	2.582568025103529	4.1894072348854765	5.600953092584141
3.647646311900664	2.7259652354784465	2.4901944789199897	2.5958688529585667
2.5164414543920826	3.997178776104865	3.1285758869287283	8.3356662872034
2.160968333265506	4.369591711050614	3.5970471318795085	13.439946882348853
4.173631217272083	1.0752128019653084	2.9692090277364267	1.0025424792261446
3.184675050165941	4.9947407013521055	3.0500008399547185	6.921163710322115
3.831496912789463	4.0317534362222345	4.561319039523814	6.371066819193769
2.987847487285208	4.9319374592218885	4.868463066377196	12.14822308667916
2.174229654944976	1.754346114381368	4.21955074301307	6.30641474467931
3.091284362003204	2.6349872742203924	4.7193785286113705	5.97259787146898
3.542279676126944	4.551525528519924	3.808108145363453	6.947247007825139
3.2435072023758065	1.198412884772614	2.548009107957509	1.3510395032488507
2.970285859075825	4.27102886548619	2.5974011330306004	5.677203710051476
4.274690586416039	4.8862206543411135	4.980888395074332	7.40317327241879
2.5789590010795784	4.369182670216012	3.4701737969496365	9.466683720172165
2.8769633592271093	2.932878436412245	4.23996857067876	6.6895215469270095
